"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"NCCPI_B - CEC 0-150cm or Restriction, MAP 1000-1500 (Cotton)","not_null_and","0","19606","25950","19606","ArbitraryCurve","MEQ 0-150cm OR RESTRICTION AND MAP 1000-1500","16516"
"NCCPI_B - CEC 0-150cm or Restriction, MAP>1500 (Cotton)","not_null_and","0","19607","25950","19607","ArbitraryCurve","MEQ 0-150cm OR RESTRICTION AND MAP >1500","16517"
"NCCPI - Wet Soil Months, Count","not_null_and","0","17122","25950","17122","ArbitraryCurve","WET SOIL MONTHS GROWING SEASON - COUNT","14471"
"NCCPI - SAR 20-150cm (Cotton)","null_not_rated","0","18625","24158","18625","ArbitraryCurve","SAR 20-150cm","13564"
"NCCPI - SAR 0-20cm (Cotton)","null_not_rated","0","18624","24158","18624","ArbitraryCurve","SAR OF SURFACE 20cm","13563"
"NCCPI_C - EC 0-150 cm or pH <= 3.5 (Cotton)","null_or","0","18618","24129","18618","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE PH <3.5","13547"
"NCCPI_C - EC 0-150 cm or Restriction (Cotton)","null_or","0","18619","24129","18619","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE RESTR. LAYER","13544"
"NCCPI_C - EC 0-150 cm or EC >= 16 (Cotton)","null_or","0","18617","24129","18617","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE EC > 16","13546"
"NCCPI_C - EC 0-150 cm or Bulk Density too High (Cotton)","null_or","0","18616","24129","18616","ArbitraryCurve","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE BD TOO HIGH","13545"
"NCCPI_C - EC 0-10cm Germination Adverse (Cotton)","null_or","0","18615","24130","18615","ArbitraryCurve","ELECTRICAL CONDUCTIVITY MAX 0-10 CM","14968"
"NCCPI - AWC Sufficiency 0-150cm map<700 (Cotton)","null_or","0","27598","37152","27598","ArbitraryCurve","AWC * Root Sufficiency (NCCPI) <700MM MAP","27306"
"NCCPI - AWC Sufficiency 0-150cm map 700-1000 (Cotton)","null_or","0","27599","37152","27599","ArbitraryCurve","AWC * Root Sufficiency (NCCPI) 700-1000MM MAP","27307"
"NCCPI - AWC Sufficiency 0-150cm map 1000-1500 (Cotton)","null_or","0","27600","37152","27600","ArbitraryCurve","AWC * Root Sufficiency (NCCPI) 1000-1500MM MAP","27308"
"NCCPI - AWC Sufficiency 0-150cm map >1500 (Cotton)","null_or","0","27601","37152","27601","ArbitraryCurve","AWC * Root Sufficiency (NCCPI) >1500MM MAP","27309"
"NCCPI_B - Water Table Depth During Summer Growth (Cotton)","not_null_and","0","18659","24305","18659","ArbitraryCurve","WATER TABLE DEPTH MIN DURING SUMMER GROWTH","13656"
"NCCPI_B - Precipitation Recharge (Cotton)","null_not_rated","0","17682","22383","17682","ArbitraryCurve","PRECIPITATION RECHARGE","14186"
